TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0098609	cell-cell adhesion	7.34778674962354e-14	-30.2417921565386	473	27	0.0996309963099631	271	29090	17356,71740,16414,52118,20202,319448,68891,22329,57781,12569,16480,26365,12495,75019,20201,20343,17064,12614,76905,16403,228788,16409,108078,171171,18189,19273,11658	Afdn,Nectin4,Itgb2,Pvr,S100a9,Fndc3a,Cd177,Vcam1,Cd200r1,Cdk5r1,Jup,Ceacam1,Entpd1,Rnase10,S100a8,Sell,Cd93,Celsr1,Lrg1,Itga6,Ccm2l,Itgam,Olr1,Ntng2,Nrxn1,Ptpru,Alcam
GO:0050900	leukocyte migration	2.2919298423681398e-11	-24.4990418343375	247	18	0.0664206642066421	271	29090	17101,27218,16409,16403,19277,22329,68891,18003,378425,14131,17390,20202,13860,12986,16414,20343,20201,57257	Lyst,Slamf1,Itgam,Itga6,Ptpro,Vcam1,Cd177,Nedd9,Nlrp12,Fcgr3,Mmp2,S100a9,Eps8,Csf3r,Itgb2,Sell,S100a8,Vav3
GO:0050727	regulation of inflammatory response	9.72068095454245e-11	-23.0541803498643	382	21	0.0774907749077491	271	29090	83490,195046,14130,237310,57781,54483,67581,21946,12978,20201,12266,15234,21898,11820,66725,13982,378425,20202,21899,27052,14131	Pik3ap1,Nlrp1a,Fcgr2b,Il22ra2,Cd200r1,Mefv,Tbc1d23,Pglyrp1,Csf1r,S100a8,C3,Hgf,Tlr4,App,Lrrk2,Esr1,Nlrp12,S100a9,Tlr6,Aoah,Fcgr3
GO:0032675	regulation of interleukin-6 production	1.04326500341407e-10	-22.9834957081366	174	15	0.0553505535055351	271	29090	16194,27218,107607,67581,19204,57781,214855,378425,26415,18439,21899,11820,21898,15234,226421	Il6ra,Slamf1,Nod1,Tbc1d23,Ptafr,Cd200r1,Arid5a,Nlrp12,Mapk13,P2rx7,Tlr6,App,Tlr4,Hgf,Rab7b
GO:0002764	immune response-regulating signaling pathway	1.5328222421509501e-09	-20.2961551980194	320	18	0.0664206642066421	271	29090	212937,18751,107607,16409,83490,18754,14130,74039,195046,54483,16822,50723,378460,21899,14131,12266,21898,57257	Tifab,Prkcb,Nod1,Itgam,Pik3ap1,Prkce,Fcgr2b,Nfam1,Nlrp1a,Mefv,Lcp2,Icosl,Pram1,Tlr6,Fcgr3,C3,Tlr4,Vav3
GO:0070372	regulation of ERK1 and ERK2 cascade	2.3756995934808803e-09	-19.8579738771596	329	18	0.0664206642066421	271	29090	18189,107607,12978,27218,16971,26365,69601,21844,19279,378425,14268,213452,21898,12266,11820,76089,13982,108058	Nrxn1,Nod1,Csf1r,Slamf1,Lrp1,Ceacam1,Dab2ip,Tiam1,Ptprr,Nlrp12,Fn1,Dstyk,Tlr4,C3,App,Rapgef2,Esr1,Camk2d
GO:0032731	positive regulation of interleukin-1 beta production	3.30776601716636e-09	-19.5269927947031	58	9	0.033210332103321	271	29090	195046,17951,54483,268973,21898,11820,107607,21899,18439	Nlrp1a,Naip5,Mefv,Nlrc4,Tlr4,App,Nod1,Tlr6,P2rx7
GO:0032680	regulation of tumor necrosis factor production	4.229791314245241e-09	-19.281113179799	193	14	0.0516605166051661	271	29090	14131,21899,214855,21898,66725,11820,107607,12978,27218,12051,74048,14130,67581,19204	Fcgr3,Tlr6,Arid5a,Tlr4,Lrrk2,App,Nod1,Csf1r,Slamf1,Bcl3,Vsir,Fcgr2b,Tbc1d23,Ptafr
GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	5.159562130036451e-09	-19.0824141195737	196	14	0.0516605166051661	271	29090	66725,11820,21898,14131,21899,214855,67581,19204,14130,74048,12978,27218,107607,12051	Lrrk2,App,Tlr4,Fcgr3,Tlr6,Arid5a,Tbc1d23,Ptafr,Fcgr2b,Vsir,Csf1r,Slamf1,Nod1,Bcl3
GO:0002697	regulation of immune effector process	5.2542988157429705e-09	-19.0642192733485	477	21	0.0774907749077491	271	29090	20202,378460,18439,14131,214855,68891,12266,21898,16414,52118,107607,16409,21946,27218,14190,14389,17173,74048,14130,19204,26365	S100a9,Pram1,P2rx7,Fcgr3,Arid5a,Cd177,C3,Tlr4,Itgb2,Pvr,Nod1,Itgam,Pglyrp1,Slamf1,Fgl2,Gab2,Ascl2,Vsir,Fcgr2b,Ptafr,Ceacam1
GO:0098581	detection of external biotic stimulus	7.38234820216285e-09	-18.7241740643691	29	7	0.025830258302583	271	29090	107607,21946,21899,17948,17951,268973,21898	Nod1,Pglyrp1,Tlr6,Naip2,Naip5,Nlrc4,Tlr4
GO:0007159	leukocyte cell-cell adhesion	9.38100244336207e-09	-18.484579209344	65	9	0.033210332103321	271	29090	22329,76905,20201,20343,16414,108078,16409,20202,68891	Vcam1,Lrg1,S100a8,Sell,Itgb2,Olr1,Itgam,S100a9,Cd177
GO:0032755	positive regulation of interleukin-6 production	9.406283061382962e-09	-18.481887960172	113	11	0.040590405904059	271	29090	11820,226421,21898,67581,19204,214855,26415,16194,21899,18439,107607	App,Rab7b,Tlr4,Tbc1d23,Ptafr,Arid5a,Mapk13,Il6ra,Tlr6,P2rx7,Nod1
GO:0016045	detection of bacterium	1.04523839297683e-08	-18.3764357573021	18	6	0.022140221402214	271	29090	17948,107607,21899,21946,17951,268973	Naip2,Nod1,Tlr6,Pglyrp1,Naip5,Nlrc4
GO:0032652	regulation of interleukin-1 production	1.24087898520953e-08	-18.2048607564174	116	11	0.040590405904059	271	29090	268973,54483,195046,17951,26365,11820,21898,21899,18439,107607,378425	Nlrc4,Mefv,Nlrp1a,Naip5,Ceacam1,App,Tlr4,Tlr6,P2rx7,Nod1,Nlrp12
GO:0002757	immune response-activating signaling pathway	1.43936151457744e-08	-18.0564811213466	287	16	0.0590405904059041	271	29090	378460,21899,50723,57257,21898,12266,16409,107607,212937,18751,74039,195046,83490,18754,16822,54483	Pram1,Tlr6,Icosl,Vav3,Tlr4,C3,Itgam,Nod1,Tifab,Prkcb,Nfam1,Nlrp1a,Pik3ap1,Prkce,Lcp2,Mefv
GO:0002274	myeloid leukocyte activation	1.6080657937065e-08	-17.9456486575485	180	13	0.0479704797047971	271	29090	12796,14131,21899,21898,11820,12890,16409,12978,27218,14130,18754,16822,103213	Camp,Fcgr3,Tlr6,Tlr4,App,Cplx2,Itgam,Csf1r,Slamf1,Fcgr2b,Prkce,Lcp2,Traf3ip2
GO:0032732	positive regulation of interleukin-1 production	1.83259046714879e-08	-17.8149502222347	70	9	0.033210332103321	271	29090	11820,21898,54483,268973,195046,17951,18439,21899,107607	App,Tlr4,Mefv,Nlrc4,Nlrp1a,Naip5,P2rx7,Tlr6,Nod1
GO:0098543	detection of other organism	2.14846818143653e-08	-17.6559256294933	20	6	0.022140221402214	271	29090	268973,17951,21899,21946,107607,17948	Nlrc4,Naip5,Tlr6,Pglyrp1,Nod1,Naip2
GO:0002253	activation of immune response	2.22169360706236e-08	-17.6224109528537	380	18	0.0664206642066421	271	29090	57257,268973,21898,12266,378460,21899,50723,195046,74039,18754,83490,209387,16822,54483,107607,16409,212937,18751	Vav3,Nlrc4,Tlr4,C3,Pram1,Tlr6,Icosl,Nlrp1a,Nfam1,Prkce,Pik3ap1,Trim30d,Lcp2,Mefv,Nod1,Itgam,Tifab,Prkcb
GO:0006909	phagocytosis	2.30832550151011e-08	-17.5841583734004	153	12	0.044280442804428	271	29090	226421,21898,16414,19332,17921,14131,18439,16971,14130,17101,16409,27218	Rab7b,Tlr4,Itgb2,Rab20,Myo7a,Fcgr3,P2rx7,Lrp1,Fcgr2b,Lyst,Itgam,Slamf1
GO:0002703	regulation of leukocyte mediated immunity	4.40924612039942e-08	-16.9369770168621	311	16	0.0590405904059041	271	29090	14131,18439,378460,214855,68891,52118,16414,21898,12266,27218,16409,14389,19204,14130,74048,26365	Fcgr3,P2rx7,Pram1,Arid5a,Cd177,Pvr,Itgb2,Tlr4,C3,Slamf1,Itgam,Gab2,Ptafr,Fcgr2b,Vsir,Ceacam1
GO:1904645	response to amyloid-beta	6.7188373698146e-08	-16.5157656148296	39	7	0.025830258302583	271	29090	11820,16971,21898,17390,21899,14130,22329	App,Lrp1,Tlr4,Mmp2,Tlr6,Fcgr2b,Vcam1
GO:0009595	detection of biotic stimulus	6.7188373698146e-08	-16.5157656148296	39	7	0.025830258302583	271	29090	17951,107607,268973,21899,21946,21898,17948	Naip5,Nod1,Nlrc4,Tlr6,Pglyrp1,Tlr4,Naip2
GO:0031331	positive regulation of cellular catabolic process	7.03029267043292e-08	-16.4704524073558	241	14	0.0516605166051661	271	29090	18439,60599,56458,18115,26874,11820,66725,107607,18704,209387,27059,54483,235406,64143	P2rx7,Trp53inp1,Foxo1,Nnt,Abcd2,App,Lrrk2,Nod1,Pik3c2a,Trim30d,Sh3d19,Mefv,Snx33,Ralb
GO:0045088	regulation of innate immune response	8.96452133506946e-08	-16.227406030951	464	19	0.0701107011070111	271	29090	107607,212937,18754,83490,209387,195046,54483,69601,26365,20202,21899,14581,13982,268973,20201,226421,21898,11820,52118	Nod1,Tifab,Prkce,Pik3ap1,Trim30d,Nlrp1a,Mefv,Dab2ip,Ceacam1,S100a9,Tlr6,Gfi1,Esr1,Nlrc4,S100a8,Rab7b,Tlr4,App,Pvr
